record_id,source,language_ok,kurmanji_ok,punctuation_ok,question_is_real,context_ok,encoding_ok,license_metadata_ok,accept,comment
v2q_041154,kurdish_ai_corpus,,,,,,,,,
v2q_049045,kurdish_ai_corpus,,,,,,,,,
v2q_041023,kurdish_ai_corpus,,,,,,,,,
v2q_037059,kurdish_ai_corpus,,,,,,,,,
v2q_046261,kurdish_ai_corpus,,,,,,,,,
v2q_035909,kurdish_ai_corpus,,,,,,,,,
v2q_038679,kurdish_ai_corpus,,,,,,,,,
v2q_039364,kurdish_ai_corpus,,,,,,,,,
v2q_041731,kurdish_ai_corpus,,,,,,,,,
v2q_041281,kurdish_ai_corpus,,,,,,,,,
v2q_042608,kurdish_ai_corpus,,,,,,,,,
v2q_041439,kurdish_ai_corpus,,,,,,,,,
v2q_036027,kurdish_ai_corpus,,,,,,,,,
v2q_045961,kurdish_ai_corpus,,,,,,,,,
v2q_046552,kurdish_ai_corpus,,,,,,,,,
v2q_048313,kurdish_ai_corpus,,,,,,,,,
v2q_046992,kurdish_ai_corpus,,,,,,,,,
v2q_042985,kurdish_ai_corpus,,,,,,,,,
v2q_045897,kurdish_ai_corpus,,,,,,,,,
v2q_043737,kurdish_ai_corpus,,,,,,,,,
v2q_038437,kurdish_ai_corpus,,,,,,,,,
v2q_043634,kurdish_ai_corpus,,,,,,,,,
v2q_046630,kurdish_ai_corpus,,,,,,,,,
v2q_045953,kurdish_ai_corpus,,,,,,,,,
v2q_037496,kurdish_ai_corpus,,,,,,,,,
v2q_009973,kurmanji_news,,,,,,,,,
v2q_025837,kurmanji_news,,,,,,,,,
v2q_032954,kurmanji_news,,,,,,,,,
v2q_002462,kurmanji_news,,,,,,,,,
v2q_012111,kurmanji_news,,,,,,,,,
v2q_010945,kurmanji_news,,,,,,,,,
v2q_023111,kurmanji_news,,,,,,,,,
v2q_021002,kurmanji_news,,,,,,,,,
v2q_034263,kurmanji_news,,,,,,,,,
v2q_026315,kurmanji_news,,,,,,,,,
v2q_030277,kurmanji_news,,,,,,,,,
v2q_011337,kurmanji_news,,,,,,,,,
v2q_029882,kurmanji_news,,,,,,,,,
v2q_013320,kurmanji_news,,,,,,,,,
v2q_030371,kurmanji_news,,,,,,,,,
v2q_017057,kurmanji_news,,,,,,,,,
v2q_002637,kurmanji_news,,,,,,,,,
v2q_015820,kurmanji_news,,,,,,,,,
v2q_032210,kurmanji_news,,,,,,,,,
v2q_029677,kurmanji_news,,,,,,,,,
v2q_035424,kurmanji_news,,,,,,,,,
