record_id,source,source_document_id,source_url,license
v2q_028637,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2492?page=949,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2492?page=949,check dataset card / original news site licenses before redistribution
v2q_028638,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2557?page=949,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2557?page=949,check dataset card / original news site licenses before redistribution
v2q_028639,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2543?page=949,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2543?page=949,check dataset card / original news site licenses before redistribution
v2q_028640,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2504?page=949,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2504?page=949,check dataset card / original news site licenses before redistribution
v2q_028641,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2382?page=949,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2382?page=949,check dataset card / original news site licenses before redistribution
v2q_028642,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2400?page=949,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2400?page=949,check dataset card / original news site licenses before redistribution
v2q_028643,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2412?page=949,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2412?page=949,check dataset card / original news site licenses before redistribution
v2q_028644,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2830?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2830?page=948,check dataset card / original news site licenses before redistribution
v2q_028645,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2758?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2758?page=948,check dataset card / original news site licenses before redistribution
v2q_028646,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2755?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2755?page=948,check dataset card / original news site licenses before redistribution
v2q_028647,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2766?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2766?page=948,check dataset card / original news site licenses before redistribution
v2q_028648,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2664?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2664?page=948,check dataset card / original news site licenses before redistribution
v2q_028649,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2708?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2708?page=948,check dataset card / original news site licenses before redistribution
v2q_028650,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2660?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2660?page=948,check dataset card / original news site licenses before redistribution
v2q_028651,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2753?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2753?page=948,check dataset card / original news site licenses before redistribution
v2q_028652,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2751?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2751?page=948,check dataset card / original news site licenses before redistribution
v2q_028653,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2797?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2797?page=948,check dataset card / original news site licenses before redistribution
v2q_028654,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2774?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2774?page=948,check dataset card / original news site licenses before redistribution
v2q_028655,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2811?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2811?page=948,check dataset card / original news site licenses before redistribution
v2q_028656,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2750?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2750?page=948,check dataset card / original news site licenses before redistribution
v2q_028657,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2713?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2713?page=948,check dataset card / original news site licenses before redistribution
v2q_028658,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2637?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2637?page=948,check dataset card / original news site licenses before redistribution
v2q_028659,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2631?page=948,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2631?page=948,check dataset card / original news site licenses before redistribution
v2q_028660,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2917?page=947,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2917?page=947,check dataset card / original news site licenses before redistribution
v2q_028661,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3014?page=947,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3014?page=947,check dataset card / original news site licenses before redistribution
v2q_028662,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2884?page=947,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2884?page=947,check dataset card / original news site licenses before redistribution
v2q_028663,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3067?page=947,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3067?page=947,check dataset card / original news site licenses before redistribution
v2q_028664,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2910?page=947,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2910?page=947,check dataset card / original news site licenses before redistribution
v2q_028665,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2916?page=947,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2916?page=947,check dataset card / original news site licenses before redistribution
v2q_028666,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2881?page=947,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/2881?page=947,check dataset card / original news site licenses before redistribution
v2q_028667,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3165?page=946,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3165?page=946,check dataset card / original news site licenses before redistribution
v2q_028668,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3164?page=946,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3164?page=946,check dataset card / original news site licenses before redistribution
v2q_028669,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3329?page=946,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3329?page=946,check dataset card / original news site licenses before redistribution
v2q_028670,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3148?page=946,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3148?page=946,check dataset card / original news site licenses before redistribution
v2q_028671,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3250?page=946,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3250?page=946,check dataset card / original news site licenses before redistribution
v2q_028672,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3181?page=946,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3181?page=946,check dataset card / original news site licenses before redistribution
v2q_028673,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3289?page=946,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3289?page=946,check dataset card / original news site licenses before redistribution
v2q_028674,kurmanji_news,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3284?page=946,https://www.mezopotamyaajansi43.com/kr/HEM-NCE/content/view/3284?page=946,check dataset card / original news site licenses before redistribution
